timestamp,player,ai,result,agent
2025-05-27T18:51:15.959776,p,r,win,Agent1
2025-05-27T18:51:17.984089,r,r,draw,Agent1
2025-05-27T18:51:20.030027,p,r,win,Agent24
2025-05-27T18:51:22.086341,s,r,lose,Agent1
2025-05-27T18:51:24.135292,p,r,win,Agent1
2025-05-27T18:51:26.219598,s,r,lose,Agent1
2025-05-27T18:51:28.303455,r,r,draw,Agent1
2025-05-27T18:51:30.305027,p,r,win,Agent1
2025-05-27T18:51:32.367812,s,r,lose,Agent1
2025-05-27T18:51:34.434093,s,r,lose,Agent11
2025-05-27T18:51:36.499694,p,r,win,Agent11
2025-05-27T18:51:38.571846,p,r,win,Agent1
2025-05-27T18:51:40.651995,p,r,win,Agent1
2025-05-27T18:51:42.699801,p,r,win,Agent1
2025-05-27T18:51:44.731009,p,s,lose,Agent11
2025-05-27T18:51:46.748263,p,s,lose,Agent8
2025-05-27T18:51:48.782906,p,s,lose,Agent8
2025-05-27T18:51:50.860759,p,s,lose,Agent8
2025-05-27T18:51:52.925859,p,s,lose,Agent8
2025-05-27T18:52:05.213598,p,s,lose,Agent16
2025-05-27T18:52:06.616002,p,s,lose,Agent8
2025-05-27T18:52:07.967685,s,s,draw,Agent8
2025-05-27T18:52:08.631581,r,s,win,Agent35
2025-05-27T18:52:09.294105,p,s,lose,Agent8
2025-05-27T18:52:09.966737,s,p,win,Agent32
2025-05-27T18:52:11.822491,r,s,win,Agent8
2025-05-27T18:52:13.188291,p,s,lose,Agent16
2025-05-27T18:52:14.987157,s,s,draw,Agent16
2025-05-27T18:52:15.918969,r,p,lose,Agent16
2025-05-27T18:52:16.367104,p,s,lose,Agent16
2025-05-27T18:52:17.001366,s,r,lose,Agent16
